SystemName	NetworkAddress	PrimaryEmail	PlatformName	ChangeFrequency	ReleaseDuration	SystemAutoFl	FunctionalAccount	FunctionalAcctCredentials	UseSpecificKey	ChangeTime	PasswordRule	PortNumber	EnablePassword	AlternateIP	Description	DomainFunctionalAccount	DomainPlatformOS	LineDef	Timeout	DomainName	OracleType	OracleSIDSN	CheckFl	ResetFl	ReleaseChgFl	NetBiosName	MaxReleaseDuration	NonPrivFuncFl	UseSslFl	AllowFuncReqFl	EscalationTime	EscalationEmail	EGPOnlyFl	PlatSpecificValue	TicketSystemName	RequireTicketForRequest	RequireTicketForISA	RequireTicketForCLI	RequireTicketForAPI	TicketEmailNotify	Custom1	Custom2	Custom3	Custom4	Custom5	Custom6	AllowISADurationFl	UseSshFl	SSHAccount	SSHPort	SSHKey	TemplateFl	AutoDiscoveryProfile	AutoDiscoveryExcludeList	AutoDiscoveryTimeout	PSM DPA Affinity	PPM DPA Affinity	PasswordChangeProfile	PasswordCheckProfile	FuncAcctDN	RequireTicketForPSM	ProfileCertificateType	ProfileNotificationThumbprint
klbatchsys56	192.168.99.56	klbatchsys56@tpam.spb.qsft	Tru64 Untrusted		180	Y	klbatchfcctacct2	DSS	N		Default Password Rule				desc2				        62								2880	N	N	Y	2	klsysesc2@tpam.spb.qsft	N			N	N	N	N								N	N				N				Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klbatchsys55	192.168.99.55	klbatchsys55@tpam.spb.qsft	Tru64 Enhanced Sec.		180	Y	klbatchfcctacct1		N		Default Password Rule				desc3				        63								4320	N	N	Y	3	klsysesc3@tpam.spb.qsft	N			N	N	N	N								Y	N				N				Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klbatchsys54	192.168.99.54	klbatchsys54@tpam.spb.qsft	Teradata		180	Y	klbatchfcctacct9		N		Default Password Rule	        66			desc4				        64								5760	N	N	Y	4	klsysesc4@tpam.spb.qsft	N			N	N	N	N								Y	Y	sshuser	67	Standard	N				Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klbatchsys53	192.168.99.53	klbatchsys53@tpam.spb.qsft	Sybase		180	Y	klbatchfcctacct8		N		Default Password Rule				desc5				        65								4320	N	Y	Y	5	klsysesc5@tpam.spb.qsft	N			N	N	N	N								N	N				N				Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klbatchsys52	192.168.99.53	klbatchsys53@tpam.spb.qsft	Stratus VOS		180	Y	klbatchfcctacct7		N		Default Password Rule				desc6				        66								7200	N	N	Y	6	klsysesc6@tpam.spb.qsft	N			N	N	N	N								Y	N				N				Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klbatchsys51	192.168.99.51	klbatchsys51@tpam.spb.qsft	Solaris		180	Y	klbatchfcctacct6	DSS	N		Default Password Rule				desc7				        67								8640	N	N	Y	7	klsysesc7@tpam.spb.qsft	N	delpref		N	N	N	N								N	N				N				Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klbatchsys50	192.168.99.50	klbatchsys50@tpam.spb.qsft	SCO		180	Y	klbatchfcctacct5		N		Default Password Rule				desc8				        68								10080	N	N	Y	8	klsysesc8@tpam.spb.qsft	N			N	N	N	N								Y	N				N				Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klbatchsys5	192.168.99.5	klbatchsys5@tpam.spb.qsft	Cisco CATOS		180	Y	klbatchfcctacct5		N		Default Password Rule	        55			desc9				        69								10080	N	N	Y	9	klsysesc9@tpam.spb.qsft	N			N	N	N	N								Y	N				N				Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klbatchsys49	192.168.99.49	klbatchsys49@tpam.spb.qsft	ProxySG		180	Y	klbatchfcctacct49		N		Default Password Rule				desc1				        61								1440	N	N	Y	1	klsysesc1@tpam.spb.qsft	N			N	N	N	N								N	N				N				Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klbatchsys48	192.168.99.48	klbatchsys48@tpam.spb.qsft	PowerPassword		180	N			N		Default Password Rule				desc2				        62								2880	N	N	Y	2	klsysesc2@tpam.spb.qsft	N			N	N	N	N								Y	N				N				Any	Local				N	N	
klbatchsys47	192.168.99.47	klbatchsys47@tpam.spb.qsft	POS 4690		180	Y	klbatchfcctacct2		N		Default Password Rule				desc3				        63								4320	N	N	Y	3	klsysesc3@tpam.spb.qsft	N			N	N	N	N								N	N				N				Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klbatchsys46	192.168.99.46	klbatchsys46@tpam.spb.qsft	PAN-OS		180	Y	klbatchfcctacct1	DSS	N		Default Password Rule				desc4				        64								5760	N	N	Y	4	klsysesc4@tpam.spb.qsft	N			N	N	N	N								Y	N				N				Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klbatchsys45	192.168.99.45	klbatchsys45@tpam.spb.qsft	Other		180	N			N		Default Password Rule				desc5				        65								4320	N	N	Y	5	klsysesc5@tpam.spb.qsft	N			N	N	N	N								Y	N				N				Any	Local				N	N	
klbatchsys44	192.168.99.44	klbatchsys44@tpam.spb.qsft	Oracle		180	Y	klbatchfcctacct44		N		Default Password Rule	        32			desc6				        66		Service	servisename					7200	N	N	Y	6	klsysesc6@tpam.spb.qsft	N			N	N	N	N								N	Y	sshroot	33	Standard	N				Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klbatchsys43	192.168.99.43	klbatchsys43@tpam.spb.qsft	OpenVMS		180	Y	klbatchfcctacct7		N		Default Password Rule				desc7				        67								8640	N	N	Y	7	klsysesc7@tpam.spb.qsft	N			N	N	N	N								Y	N				N				Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klbatchsys41	192.168.99.41	klbatchsys41@tpam.spb.qsft	Nokia-IPSO		180	Y	klbatchfcctacct5		N		Default Password Rule				desc9				        69								10080	N	N	Y	9	klsysesc9@tpam.spb.qsft	N			N	N	N	N								Y	N				N				Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klbatchsys40	192.168.99.40	klbatchsys40@tpam.spb.qsft	NIS Plus		180	Y	klbatchfcctacct4	DSS	N		Default Password Rule				desc1				        61	mydomain.mc.com							1440	N	N	Y	1	klsysesc1@tpam.spb.qsft	N			N	N	N	N								N	N				N				Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klbatchsys4	192.168.99.4	klbatchsys4@tpam.spb.qsft	CheckPoint SP		180	Y	klbatchfcctacct4		N		Default Password Rule	        55			desc2				        62								2880	N	N	Y	2	klsysesc2@tpam.spb.qsft	N			N	N	N	N								N	N				N				Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klbatchsys39	192.168.99.39	klbatchsys39@tpam.spb.qsft	Netscreen		180	Y	klbatchfcctacct3		N		Default Password Rule				desc3				        63								4320	N	N	Y	3	klsysesc3@tpam.spb.qsft	N			N	N	N	N								Y	N				N				Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klbatchsys38	192.168.99.38	klbatchsys38@tpam.spb.qsft	MySQL		180	Y	klbatchfcctacct2		N		Default Password Rule				desc4				        64								5760	N	Y	Y	4	klsysesc4@tpam.spb.qsft	N			N	N	N	N								N	N				N				Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klbatchsys37	192.168.99.37	klbatchsys37@tpam.spb.qsft	MS SQL Server		180	Y	klbatchfcctacct1		N		Default Password Rule				desc5				        65								4320	N	N	Y	5	klsysesc5@tpam.spb.qsft	N			N	N	N	N								Y	Y	root	33	Specific	N				Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klbatchsys36	192.168.99.36	klbatchsys36@tpam.spb.qsft	Mainframe LDAP TS		180	Y	klbatchfcctacct9		N		Default Password Rule				desc6				        66								7200	N	N	Y	6	klsysesc6@tpam.spb.qsft	N			N	N	N	N								Y	N				N				Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klbatchsys35	192.168.99.35	klbatchsys35@tpam.spb.qsft	Mainframe LDAP RACF		180	Y	klbatchfcctacct8		N		Default Password Rule	        35			desc7				        67								8640	N	Y	Y	7	klsysesc7@tpam.spb.qsft	N			N	N	N	N								N	N				N				Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klbatchsys34	192.168.99.34	klbatchsys34@tpam.spb.qsft	Mainframe LDAP ACF2		180	Y	klbatchfcctacct7		N		Default Password Rule				desc8				        68								10080	N	N	Y	8	klsysesc8@tpam.spb.qsft	N			N	N	N	N								Y	N				N				Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klbatchsys33	192.168.99.33	klbatchsys33@tpam.spb.qsft	Mainframe (ACF2)		180	Y	klbatchfcctacct6		N		Default Password Rule	        33			desc9				        69								10080	N	N	Y	9	klsysesc9@tpam.spb.qsft	N			N	N	N	N								N	N				N				Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klbatchsys32	192.168.99.32	klbatchsys32@tpam.spb.qsft	Mainframe		180	Y	klbatchfcctacct32		N		Default Password Rule	        32			desc1			custom command	        61								1440	N	Y	Y	1	klsysesc1@tpam.spb.qsft	N	WorkstationID		N	N	N	N								Y	N				N				Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klbatchsys31	192.168.99.31	klbatchsys31@tpam.spb.qsft	MacOSX 10.5,10.6		210	Y	klbatchfcctacct4		N		Default Password Rule				desc2				        62								2880	N	N	Y	2	klsysesc2@tpam.spb.qsft	N			N	N	N	N								Y	N				N				Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klbatchsys30	192.168.99.30	klbatchsys30@tpam.spb.qsft	MacOSX 10.4		180	Y	klbatchfcctacct30		N		Default Password Rule				desc3				        63								4320	N	N	Y	3	klsysesc3@tpam.spb.qsft	N			N	N	N	N								Y	N				N				Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		N	N	
klbatchsys3	192.168.99.3	klbatchsys3@tpam.spb.qsft	BoKS		180	Y	klbatchfcctacct3		N		Default Password Rule	        55			desc4		FreeBSD		        64	mydomain							5760	N	N	Y	4	klsysesc4@tpam.spb.qsft	N			N	N	N	N								Y	N				N				Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
