SystemName	AccountName	PasswordMethod	ParCliUser	MinApprovers	AcctLockFl	DefaultSessionDuration	MaxSessionCnt	NotifyThresh	NotifyFreq	ProxyDesc	EnableFl	ColorDepth	DomainAccountName	DSSKeyType	FileTransPath	FileTransType	FileTransAuthMethod	ReviewCnt	ReviewerTypeDesc	ReviewerDesc	SessionStartNotifyEmail 	EscalationEmail	EscalationTime	ClipboardFl	ConsoleFl	RecordingRequiredFl	FileTransUpFl	FileTransDownFl	CLISystemName	CLIAccountName	CLIDomainName	ConnectionProfile	PostSessionProfile
klbatchsys1	klbatchacc	DSS Key		1	N	135	1	0	0	SSH - Automatic Login Using DSS Key	Y			Standard		File Transfer Disabled	Same	1	Auditor			klsessrevesc@tpam.spb.qsft	1	Y	N	Y	N	N					
klbatchsys10	klbatchacc	Local TPAM		1	N	120	3	0	0	SSH - Interactive Login	Y					File Transfer Disabled	Same	1	Any			klsessrevesc@tpam.spb.qsft	1	Y	N	Y	N	N					
klbatchsys11	klbatchacc	Local TPAM		3	N	120	2	0	0	RDP - Interactive Login	Y	8				File Transfer Disabled	Same	1	Auditor			klsessrevesc@tpam.spb.qsft	1	Y	Y	Y	N	N					
klbatchsys12	klbatchacc	Local TPAM		2	N	120	1	0	0	VNC - Interactive Login	Y	0				File Transfer Disabled	Same	1	Any			klsessrevesc@tpam.spb.qsft	1	Y	N	Y	N	N					
klbatchsys13	klbatchacc	Local TPAM		1	N	120	3	0	0	Telnet - Interactive Login	Y					File Transfer Disabled	Same	1	Auditor			klsessrevesc@tpam.spb.qsft	1	Y	N	Y	N	N					
klbatchsys14	klbatchacc	Local TPAM		3	N	120	2	0	0	VNC Enterprise - Interactive Login	Y	0				File Transfer Disabled	Same	1	Any			klsessrevesc@tpam.spb.qsft	1	Y	N	Y	N	N					
klbatchsys17	klbatchacc	Local TPAM		1	N	120	1	0	0	Telnet - Automatic Login Using Password	Y					File Transfer Disabled	Same	1	Auditor			klsessrevesc@tpam.spb.qsft	1	Y	N	Y	N	N					
klbatchsys18	klbatchacc	DSS Key		2	N	120	3	0	0	SSH - Automatic Login Using DSS Key	Y			Standard		File Transfer Disabled	Same	1	Any			klsessrevesc@tpam.spb.qsft	1	Y	N	Y	N	N					
klbatchsys19	klbatchacc	Local TPAM		1	N	120	2	0	0	SSH - Interactive Login	Y					File Transfer Disabled	Same	1	Auditor			klsessrevesc@tpam.spb.qsft	1	Y	N	Y	N	N					
klbatchsys2	klbatchacc	Local TPAM		2	N	120	1	0	0	x5250 - Automatic Login Using Password	Y					File Transfer Disabled	Same	1	Any			klsessrevesc@tpam.spb.qsft	1	Y	N	Y	N	N					
klbatchsys20	klbatchacc	Local TPAM		2	N	120	3	0	0	SSH - Interactive Login	Y					File Transfer Disabled	Same	1	Auditor			klsessrevesc@tpam.spb.qsft	1	Y	N	Y	N	N					
klbatchsys21	klbatchacc	Local TPAM		1	N	120	1	0	0	HP Non-Stop - Interactive Login	N					File Transfer Disabled	Same	0	None				0	Y	N	Y	N	N					
klbatchsys22	klbatchacc	Local TPAM		3	N	120	2	0	0	Telnet - Interactive Login	Y					File Transfer Disabled	Same	1	Any			klsessrevesc@tpam.spb.qsft	1	Y	N	Y	N	N					
klbatchsys23	klbatchacc	DSS Key		1	N	120	1	0	0	SSH - Automatic Login Using DSS Key	Y			Standard		File Transfer Disabled	Same	1	Auditor			klsessrevesc@tpam.spb.qsft	1	Y	N	Y	N	N					
klbatchsys24	klbatchacc	Local TPAM		1	N	120	3	0	0	VNC - Interactive Login	Y	3				File Transfer Disabled	Same	1	Any			klsessrevesc@tpam.spb.qsft	1	Y	N	Y	N	N					
klbatchsys25	klbatchacc	Local TPAM		3	N	120	2	0	0	SSH - Interactive Login	Y					File Transfer Disabled	Same	1	Auditor			klsessrevesc@tpam.spb.qsft	1	Y	N	Y	N	N					
