SystemName	NetworkAddress	PrimaryEmail	PlatformName	ChangeFrequency	ReleaseDuration	SystemAutoFl	FunctionalAccount	FunctionalAcctCredentials	UseSpecificKey	ChangeTime	PasswordRule	PortNumber	EnablePassword	AlternateIP	Description	DomainFunctionalAccount	DomainPlatformOS	LineDef	Timeout	DomainName	OracleType	OracleSIDSN	CheckFl	ResetFl	ReleaseChgFl	NetBiosName	MaxReleaseDuration	NonPrivFuncFl	UseSslFl	AllowFuncReqFl	EscalationTime	EscalationEmail	EGPOnlyFl	PlatSpecificValue	TicketSystemName	RequireTicketForRequest	RequireTicketForISA	RequireTicketForCLI	RequireTicketForAPI	TicketEmailNotify	Custom1	Custom2	Custom3	Custom4	Custom5	Custom6	AllowISADurationFl	UseSshFl	SSHAccount	SSHPort	SSHKey	TemplateFl	AutoDiscoveryProfile	AutoDiscoveryExcludeList	AutoDiscoveryTimeout	PSM DPA Affinity	PPM DPA Affinity	PasswordChangeProfile	PasswordCheckProfile	FuncAcctDN	RequireTicketForPSM	ProfileCertificateType	ProfileNotificationThumbprint	
klbatchsyswithveryverylongname	192.168.99.99	klbatchsys9@tpam.spb.qsft	CyberGuard		180	Y	klbatchfcctacct9	DSS	N		Default Password Rule	        55			desc1				        61								1440	N	N	Y	1	klsysesc1@tpam.spb.qsft	N			N	N	N	N								Y	N				N				Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klbatchsys8	192.168.99.8	klbatchsys8@tpam.spb.qsft	Cisco Router (TEL)		180	Y	klbatchfcctacct8		N		Default Password Rule	        55			desc2			line vty 0 4	        62								2880	N	N	Y	2	klsysesc2@tpam.spb.qsft	N			N	N	N	N								N	N				N				Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		N	N	
klbatchsys7	192.168.99.7	klbatchsys7@tpam.spb.qsft	Cisco Router (SSH)		180	Y	klbatchfcctacct7		N		Default Password Rule	        55			desc3				        63								4320	N	N	Y	3	klsysesc3@tpam.spb.qsft	N			N	N	N	N								Y	N				N				Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klbatchsys62	192.168.99.62	klbatchsys62@tpam.spb.qsft	Windows Desktop		180	Y	klbatchfcctacct8		N		Default Password Rule				desc4				        64								5760	N	N	Y	4	klsysesc4@tpam.spb.qsft	N	wwwwwww		N	N	N	N								N	N				N				Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		N	N	
klbatchsys61	192.168.99.61	klbatchsys61@tpam.spb.qsft	Windows Active Dir		180	Y	klbatchfcctacct7		N		Default Password Rule				desc5				        65	mydomain.mc.co						MYDOMAIN	4320	Y	N	Y	5	klsysesc5@tpam.spb.qsft	N			N	Y	N	N								Y	N				N				Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klbatchsys60	192.168.99.60	klbatchsys60@tpam.spb.qsft	Windows		180	Y	klbatchfcctacct60		N		Default Password Rule				desc6				        66								7200	N	N	Y	6	klsysesc6@tpam.spb.qsft	N	computername		N	N	N	N								N	N				N				Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		N	N	
klbatchsys6	192.168.99.6	klbatchsys6@tpam.spb.qsft	Cisco PIX		180	Y	klbatchfcctacct6		N		Default Password Rule	        55			desc7				        67								8640	N	N	Y	7	klsysesc7@tpam.spb.qsft	N			N	N	N	N								N	N				N				Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klbatchsys59	192.168.99.59	klbatchsys59@tpam.spb.qsft	VMware vSphere 4,5		180	Y	klbatchfcctacct5		N		Default Password Rule	        99			desc8				        68								10080	N	N	Y	8	klsysesc8@tpam.spb.qsft	N			N	N	N	N								Y	N				N				Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		N	N	
klbatchsys58	192.168.99.58	klbatchsys58@tpam.spb.qsft	Unixware 7.X		180	Y	klbatchfcctacct4	DSS	Y		Default Password Rule				desc9				        69								10080	N	N	Y	9	klsysesc9@tpam.spb.qsft	N			N	N	N	N								N	N				N				Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klbatchsys57	192.168.99.57	klbatchsys57@tpam.spb.qsft	UnixWare		120	Y	klbatchfcctacct3		N		Default Password Rule				desc1				        61								1440	N	N	Y	1	klsysesc1@tpam.spb.qsft	N			N	N	N	N								N	N				N				Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		N	N	
