SystemName	NetworkAddress	PrimaryEmail	PlatformName	ChangeFrequency	ReleaseDuration	SystemAutoFl	FunctionalAccount	FunctionalAcctCredentials	UseSpecificKey	ChangeTime	PasswordRule	PortNumber	EnablePassword	AlternateIP	Description	DomainFunctionalAccount	DomainPlatformOS	LineDef	Timeout	DomainName	OracleType	OracleSIDSN	CheckFl	ResetFl	ReleaseChgFl	NetBiosName	MaxReleaseDuration	NonPrivFuncFl	UseSslFl	AllowFuncReqFl	EscalationTime	EscalationEmail	EGPOnlyFl	PlatSpecificValue	TicketSystemName	RequireTicketForRequest	RequireTicketForISA	RequireTicketForCLI	RequireTicketForAPI	TicketEmailNotify	Custom1	Custom2	Custom3	Custom4	Custom5	Custom6	AllowISADurationFl	UseSshFl	SSHAccount	SSHPort	SSHKey	TemplateFl	AutoDiscoveryProfile	AutoDiscoveryExcludeList	AutoDiscoveryTimeout	PSM DPA Affinity	PPM DPA Affinity	PasswordChangeProfile	PasswordCheckProfile	FuncAcctDN	RequireTicketForPSM	ProfileCertificateType	ProfileNotificationThumbprint
klgenautodiscsystemwithbigname	7.7.7.7		Windows		120	Y	mymaster		N		Default Password Rule								        90								10080	N	N	N	0		N			N	N	N	N								N	N				N				Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		N	N	
klgenautodiscsystemwithbigna_1	192.168.99.119	KLapache19@tpam.spb.qsft	MacOSX 10.4		300	Y	Manager		N		Default Password Rule	        44			kltemplformysqlad description				        68								10080	N	N	Y	8	klsysesc8@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							N	N		0		N			0	Any	DPAPLACEHOLDER/11	PersPassChangeProfile_2	PersPassCheckProfile_2		Y	N	
klgenautodiscsys9	192.168.99.9	klgenautodiscsys9@tpam.spb.qsft	CyberGuard		180	Y	klgenautodiscfcctacct9	DSS	N		Default Password Rule	        55			desc1				        61								1440	N	N	Y	1	klsysesc1@tpam.spb.qsft	N		PersTicketSystem	N	Y	N	N	TicketNotify@tpam.spb.qsft							Y	N		0		N			0	Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klgenautodiscsys8new	192.168.99.8	klgenautodiscsys8@tpam.spb.qsft	Cisco Router (TEL)		180	Y	klgenautodiscfcctacct8		N		Default Password Rule	        55			desc2			line vty 0 3	        69								2880	N	N	Y	2	klsysesc2@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							N	N		0		N			0	Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		N	N	
klgenautodiscsys7	192.168.99.77	klgenautodiscsys7@tpam.spb.qsft	Cisco Router (SSH)		180	Y	klgenautodiscfcctacct7		N		Default Password Rule	        55			desc3				        63								4320	N	N	Y	3	klsysesc3@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							Y	N		0		N			0	Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klgenautodiscsys62	192.168.99.62	klgenauto662@tpam.spb.qsft	Windows Desktop		180	Y	klgenautodiscfcctacct8		N		Default Password Rule				desc4				        64								5760	N	N	Y	4	klsysesc4@tpam.spb.qsft	N	wwwwwww		N	N	N	N	TicketNotify@tpam.spb.qsft							N	N		0		N			0	Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		N	N	
klgenautodiscsys61	updated.address.2	updated.mail.2@tpam.spb.qsft	Windows Active Dir		660	Y	updatedacc2		N		Default Password Rule				updated desc 2				        101	samsung.com						SAMSUNG	3000	N	N	Y	7	updated2@tpam.spb.qsft	N			N	Y	N	N	UpdatedNotify2@tpam.spb.qsft							Y	N		0		N			0	DPAPLACEHOLDER/4	DPAPLACEHOLDER/5	PersPassChangeProfile_1	PersPassCheckProfile_1		N	T	FFFFF963A674BBB58EFE5551706FB75725066D01
klgenautodiscsys60	192.168.99.60	klgenautodiscsys60@tpam.spb.qsft	Windows		900	Y	klgenautodiscfcctacct60		N		Default Password Rule				desc6				        66								7200	N	N	Y	6	klsysesc6@tpam.spb.qsft	N	computername	PersTicketSystem	N	Y	N	N	TicketNotify@tpam.spb.qsft							N	N		0		N			0	Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		N	N	
klgenautodiscsys6	192.168.99.6	klgenautodiscsys6@tpam.spb.qsft	Cisco PIX		180	Y	klgenautodiscfcctacct6		N		Default Password Rule	        55			desc7				        67								8640	N	N	N	7	klsysesc7@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							N	N		0		N			0	Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klgenautodiscsys59	192.168.99.59	klgenautodiscsys59@tpam.spb.qsft	VMware vSphere 4,5		180	Y	newfcctacct5		N		Default Password Rule	        99			desc8				        68								10080	N	N	N	8	klsysesc8@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							Y	N		0		N			0	Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		N	N	
